Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
NCOA6,5031.0,6044.0,3655.0,5425.0,2922.666667,4604.666667,5319.666667,4484.333333,3574.0
NCOR1,2011.0,1914.0,2132.0,1437.0,1299.333333,3413.666667,1633.0,1317.333333,1624.666667
NCOR2,7057.0,5647.0,7232.0,6198.0,8547.333333,5820.333333,6451.0,3779.666667,2706.666667
NCR1,419.0,623.0,499.0,300.0,322.3333333,314.0,514.6666667,369.6666667,265.6666667
NCR2,424.0,840.0,963.0,460.0,356.0,415.3333333,491.6666667,504.33333330000005,565.0
NCR3,284.0,373.0,254.0,261.0,231.0,212.3333333,217.6666667,215.3333333,260.0
NCS1,-114.0,6.0,98.0,-22.0,29.6666667,35.6666667,39.0,25.6666667,-58.6666667
NCSTN,1598.0,1724.0,1736.0,785.0,1186.0,1108.333333,469.0,336.0,1375.666667
NDC1,280.0,479.0,577.0,977.0,278.0,385.6666667,829.6666667000002,1140.333333,1439.0
NDC80,432.0,301.0,4.0,515.0,230.6666667,650.6666667000002,604.3333332999998,1970.0,1557.0
NDE1,331.0,256.0,238.0,1101.0,590.3333332999998,790.6666667000002,549.0,405.3333333,339.6666667
NDEL1,1832.0,1784.0,2360.0,1580.0,2374.333333,1214.666667,2249.0,1702.0,826.3333332999998
NDFIP1,1881.0,1476.0,2423.0,1321.0,2166.666667,1773.3333329999996,922.0,2192.666667,5180.0
NDN,1882.0,242.0,308.0,339.0,7926.333333,404.6666667,291.0,250.3333333,344.3333333
NDNF,315.0,549.0,504.0,417.0,318.3333333,1278.0,378.0,312.3333333,530.6666667
NDOR1,-3.0,103.0,-113.0,-179.0,-174.0,52.6666667,9.3333333,14.3333333,-123.3333333
NDP,143.0,222.0,184.0,144.0,197.0,977.3333332999997,164.66666669999995,224.0,330.3333333
NDRG1,2710.0,1451.0,2299.0,2020.0,7518.333333,2571.333333,25606.66667,19249.33333,6212.666667
NDRG2,1373.0,1989.0,1783.0,1025.0,1680.3333329999996,848.3333332999997,1158.666667,969.0,1088.666667
NDRG3,2388.0,3354.0,1420.0,1173.0,1434.333333,1243.666667,2911.666667,2397.0,1544.666667
NDRG4,255.0,406.0,75.0,104.0,63.6666667,433.33333330000005,168.0,201.0,96.6666667
NDST1,393.0,663.0,323.0,575.0,125.0,200.0,398.0,439.0,462.0
NDST2,2032.0,2795.0,1650.0,2149.0,1311.666667,1169.0,1159.666667,904.0,886.0
NDST3,188.0,39.0,52.0,203.0,83.66666670000002,84.33333329999998,126.0,102.0,171.66666669999995
NDST4,92.0,127.0,176.0,104.0,72.0,105.3333333,89.33333329999998,99.6666667,134.33333330000002
NDUFA1,12341.0,12345.0,8197.0,10478.0,16417.33333,17784.66667,7874.333333,6604.333333,8382.666667
NDUFA10,623.0,653.0,1023.0,1169.0,1371.0,1232.666667,672.6666667000002,814.0,1755.6666670000004
NDUFA13,5596.0,5695.0,2723.0,2099.0,2954.0,2957.0,1821.0,1100.333333,1677.0
NDUFA2,4662.0,5311.0,3608.0,2611.0,2857.666667,2668.0,2133.0,1710.6666670000004,5464.333333
NDUFA3,8266.0,9075.0,7329.0,4573.0,3381.666667,10087.33333,2264.666667,772.0,1816.666667
NDUFA4,16393.0,16961.0,11580.0,12055.0,8976.333333,12370.0,10737.33333,7145.333333,7595.333333
NDUFA4L2,110.0,127.0,77.0,92.0,97.6666667,60.0,49.6666667,89.0,66.0
NDUFA5,4133.0,3977.0,3631.0,5566.0,4538.666667,7179.0,3561.666667,3716.0,4066.666667
NDUFA6,15256.0,18678.0,11683.0,17672.0,6531.0,6988.666667,8320.333333,7558.333333,10973.33333
NDUFA7,2798.0,3476.0,2694.0,2033.0,815.0,1406.0,1722.0,350.3333333,1628.0
NDUFA8,4500.0,4765.0,8835.0,6733.0,1838.333333,3437.333333,9216.0,5967.333333,6066.333333
NDUFA9,4994.0,5828.0,7772.0,7637.0,3948.333333,5128.333333,8621.0,6784.333333,7394.333333
NDUFAB1,11437.0,13296.0,11823.0,14488.0,6895.0,13120.33333,10671.66667,6561.666667,9960.666667
NDUFAF1,1364.0,1711.0,1612.0,1717.0,2519.0,2093.0,991.0,1308.666667,2577.0
NDUFAF3,1263.0,926.0,2206.0,1426.0,2063.0,2674.0,682.3333332999998,574.0,891.0
NDUFAF4,272.0,228.0,1003.0,1588.0,539.3333332999998,724.6666667000002,366.3333333,832.6666667000002,1603.0
NDUFAF5,27.0,57.0,35.0,47.0,22.3333333,-8.0,46.0,19.3333333,20.3333333
NDUFAF7,-100.0,-11.0,-18.0,-8.0,19.0,-16.0,-13.6666667,24.3333333,40.6666667
NDUFB1,11743.0,13833.0,11042.0,13476.0,10141.0,10723.33333,8130.666667,5242.333333,4967.666667
NDUFB11,4742.0,4592.0,5558.0,4501.0,2408.0,3158.666667,4038.666667,2016.666667,3045.0
NDUFB2,15763.0,16919.0,16389.0,16646.0,13989.0,18541.66667,17060.33333,12012.33333,7072.333333
NDUFB2-AS1,130.0,113.0,152.0,60.0,79.66666670000002,92.3333333,206.3333333,156.0,37.0
NDUFB3,7337.0,8946.0,4648.0,6978.0,6175.666667,5898.666667,8325.0,5216.0,5901.333333
NDUFB4,15586.0,15534.0,11010.0,10181.0,5846.333333,10603.33333,12273.0,11458.66667,10064.66667
NDUFB5,3883.0,4310.0,3037.0,4386.0,6544.333333,7973.666667,1761.6666670000004,4463.333333,8239.333333
